Z,Symbol,Systematic Name,Theoretical Zone,Idealized Slot,Block,Ψ Note,MQGT–SCF Role,Caution
119,Uue,Ununennium,8s ignition,1,s,[Og] 8s¹; predicted period-8 alkali-like start,Ion-source / charge-gradient node,Not experimentally confirmed
120,Ubn,Unbinilium,8s ignition,2,s,[Og] 8s²; predicted period-8 alkaline-earth-like closure,Ion-source / charge-gradient node,Not experimentally confirmed
121,Ubu,Unbiunium,5g hyperorbital braid,G1,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
122,Ubb,Unbibium,5g hyperorbital braid,G2,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
123,Ubt,Unbitrium,5g hyperorbital braid,G3,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
124,Ubq,Unbiquadium,5g hyperorbital braid,G4,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
125,Ubp,Unbipentium,5g hyperorbital braid,G5,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
126,Ubh,Unbihexium,5g hyperorbital braid,G6,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
127,Ubs,Unbiseptium,5g hyperorbital braid,G7,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
128,Ubo,Unbioctium,5g hyperorbital braid,G8,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
129,Ube,Unbiennium,5g hyperorbital braid,G9,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
130,Utn,Untrinilium,5g hyperorbital braid,G10,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
131,Utu,Untriunium,5g hyperorbital braid,G11,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
132,Utb,Untribium,5g hyperorbital braid,G12,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
133,Utt,Untritrium,5g hyperorbital braid,G13,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
134,Utq,Untriquadium,5g hyperorbital braid,G14,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
135,Utp,Untripentium,5g hyperorbital braid,G15,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
136,Uth,Untrihexium,5g hyperorbital braid,G16,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
137,Uts,Untriseptium,5g hyperorbital braid,G17,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
138,Uto,Untrioctium,5g hyperorbital braid,G18,g,Idealized 5g / 8p mixed hyperorbital filling; speculative,Hypothetical high-dimensional orbital braid,Not experimentally confirmed
139,Ute,Untriennium,6f superactinide memory,F1,f,Idealized 6f superactinide filling; speculative,Hidden-memory inner-shell resonance,Not experimentally confirmed
140,Uqn,Unquadnilium,6f superactinide memory,F2,f,Idealized 6f superactinide filling; speculative,Hidden-memory inner-shell resonance,Not experimentally confirmed
141,Uqu,Unquadunium,6f superactinide memory,F3,f,Idealized 6f superactinide filling; speculative,Hidden-memory inner-shell resonance,Not experimentally confirmed
142,Uqb,Unquadbium,6f superactinide memory,F4,f,Idealized 6f superactinide filling; speculative,Hidden-memory inner-shell resonance,Not experimentally confirmed
143,Uqt,Unquadtrium,6f superactinide memory,F5,f,Idealized 6f superactinide filling; speculative,Hidden-memory inner-shell resonance,Not experimentally confirmed
144,Uqq,Unquadquadium,6f superactinide memory,F6,f,Idealized 6f superactinide filling; speculative,Hidden-memory inner-shell resonance,Not experimentally confirmed
145,Uqp,Unquadpentium,6f superactinide memory,F7,f,Idealized 6f superactinide filling; speculative,Hidden-memory inner-shell resonance,Not experimentally confirmed
146,Uqh,Unquadhexium,6f superactinide memory,F8,f,Idealized 6f superactinide filling; speculative,Hidden-memory inner-shell resonance,Not experimentally confirmed
147,Uqs,Unquadseptium,6f superactinide memory,F9,f,Idealized 6f superactinide filling; speculative,Hidden-memory inner-shell resonance,Not experimentally confirmed
148,Uqo,Unquadoctium,6f superactinide memory,F10,f,Idealized 6f superactinide filling; speculative,Hidden-memory inner-shell resonance,Not experimentally confirmed
149,Uqe,Unquadennium,6f superactinide memory,F11,f,Idealized 6f superactinide filling; speculative,Hidden-memory inner-shell resonance,Not experimentally confirmed
150,Upn,Unpentnilium,6f superactinide memory,F12,f,Idealized 6f superactinide filling; speculative,Hidden-memory inner-shell resonance,Not experimentally confirmed
151,Upu,Unpentunium,6f superactinide memory,F13,f,Idealized 6f superactinide filling; speculative,Hidden-memory inner-shell resonance,Not experimentally confirmed
152,Upb,Unpentbium,6f superactinide memory,F14,f,Idealized 6f superactinide filling; speculative,Hidden-memory inner-shell resonance,Not experimentally confirmed
153,Upt,Unpenttrium,7d flow-metal return,3,d,Idealized 7d superheavy transition filling; speculative,Variable-valence flow-metal conductor,Not experimentally confirmed
154,Upq,Unpentquadium,7d flow-metal return,4,d,Idealized 7d superheavy transition filling; speculative,Variable-valence flow-metal conductor,Not experimentally confirmed
155,Upp,Unpentpentium,7d flow-metal return,5,d,Idealized 7d superheavy transition filling; speculative,Variable-valence flow-metal conductor,Not experimentally confirmed
156,Uph,Unpenthexium,7d flow-metal return,6,d,Idealized 7d superheavy transition filling; speculative,Variable-valence flow-metal conductor,Not experimentally confirmed
157,Ups,Unpentseptium,7d flow-metal return,7,d,Idealized 7d superheavy transition filling; speculative,Variable-valence flow-metal conductor,Not experimentally confirmed
158,Upo,Unpentoctium,7d flow-metal return,8,d,Idealized 7d superheavy transition filling; speculative,Variable-valence flow-metal conductor,Not experimentally confirmed
159,Upe,Unpentennium,7d flow-metal return,9,d,Idealized 7d superheavy transition filling; speculative,Variable-valence flow-metal conductor,Not experimentally confirmed
160,Uhn,Unhexnilium,7d flow-metal return,10,d,Idealized 7d superheavy transition filling; speculative,Variable-valence flow-metal conductor,Not experimentally confirmed
161,Uhu,Unhexunium,7d flow-metal return,11,d,Idealized 7d superheavy transition filling; speculative,Variable-valence flow-metal conductor,Not experimentally confirmed
